Temperature (K),Specific Heat Capacity (J/(mol*K))
100,29.1
200,29.11
300,29.39
400,30.1
500,31.08
600,32.11
700,32.98
800,33.74
900,34.36
1000,34.86
1100,35.29
1200,35.66
1300,35.99
1400,36.28
1500,36.55
1600,36.8
1700,37.04
1800,37.27
1900,37.51
2000,37.75
