Temperature (K),Specific Heat Capacity (J/(mol*K)),,,,,,,,,
100,29.1,,,,,,,,,
200,29.11,,,,,,,,,
300,29.12,,,,,,,,,
400,29.25,,,,,,,,,
500,29.58,,,,,,,,,
600,30.1,,,,,,,,,
700,30.76,,,,,,,,,
800,31.44,,,,,,,,,
900,32.09,,,,,,,,,
1000,32.69,,,,,,,,,
1100,33.24,,,,,,,,,
1200,33.72,,,,,,,,,
1300,34.15,,,,,,,,,
1400,34.52,,,,,,,,,
1500,34.85,,,,,,,,,
1600,35.13,,,,,,,,,
1700,35.38,,,,,,,,,
1800,35.59,,,,,,,,,
1900,35.79,,,,,,,,,
2000,35.98,,,,,,,,,
