ID,Temperature,Pressure,Cp,,
1,298,1,28.84,,
2,300,1,28.85,,
3,400,1,29.18,,
4,500,1,29.26,,
5,600,1,29.32,,
6,700,1,29.44,,
7,800,1,29.62,,
8,900,1,29.88,,
9,1000,1,30.2,,
