ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,x2,Pressure,VapourPressure2,Type,Temperature,Reference
1211,nitrogen,water,1.61146E-05,3.71257224893938E-07,1,1,7,VLE,273.15,NIST
1212,nitrogen,water,1.47933E-05,3.36359537814991E-07,1,1,7,VLE,278.15,NIST
1213,nitrogen,water,1.36214E-05,3.05806463067078E-07,1,1,7,VLE,283.15,NIST
1214,nitrogen,water,1.25783E-05,2.78949016749562E-07,1,1,7,VLE,288.15,NIST
1215,nitrogen,water,1.16467E-05,2.55249460326319E-07,1,1,7,VLE,293.15,NIST
1216,nitrogen,water,0.000010812,0.00000023426,1,1,7,VLE,298.15,NIST
1217,nitrogen,water,1.00618E-05,2.15605959396775E-07,1,1,7,VLE,303.15,NIST
1218,nitrogen,water,9.38544E-06,1.98972408786709E-07,1,1,7,VLE,308.15,NIST
1219,nitrogen,water,8.77407E-06,1.84093481686105E-07,1,1,7,VLE,313.15,NIST
1220,nitrogen,water,8.2199E-06,1.707437932094E-07,1,1,7,VLE,318.15,NIST
1221,nitrogen,water,7.7163E-06,1.58731511483566E-07,1,1,7,VLE,323.15,NIST
1222,nitrogen,water,7.25752E-06,1.47892736298837E-07,1,1,7,VLE,328.15,NIST
1223,nitrogen,water,6.83859E-06,1.38086916915942E-07,1,1,7,VLE,333.15,NIST
1224,nitrogen,water,6.45518E-06,1.29193100069418E-07,1,1,7,VLE,338.15,NIST
1225,nitrogen,water,6.10352E-06,1.21106844423193E-07,1,1,7,VLE,343.15,NIST
1226,nitrogen,water,5.78031E-06,1.1373767251127E-07,1,1,7,VLE,348.15,NIST
1227,nitrogen,water,5.48266E-06,1.07006958087523E-07,1,1,7,VLE,353.15,NIST
1228,nitrogen,water,5.20802E-06,1.00846167710021E-07,1,1,7,VLE,358.15,NIST
1229,nitrogen,water,4.95414E-06,9.51953917122881E-08,1,1,7,VLE,363.15,NIST
1230,nitrogen,water,4.71904E-06,9.00021125290584E-08,1,1,7,VLE,368.15,NIST
1231,nitrogen,water,4.50095E-06,8.522016844944E-08,1,1,7,VLE,373.15,NIST
1232,nitrogen,water,4.29832E-06,8.08088788747702E-08,1,1,7,VLE,378.15,NIST
1233,nitrogen,water,4.10975E-06,7.67323035260358E-08,1,1,7,VLE,383.15,NIST
