ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,x2,Pressure,VapourPressure2,Type,Temperature,Reference
203,methane,MEG,0.00595,0.0000595,0.99405,50,50,VLE,283.29,Folas2007
204,methane,MEG,0.00595,0.0000595,0.99405,50.2,50.2,VLE,298.33,Folas2007
205,methane,MEG,0.00606,0.0000606,0.99394,50.2,50.2,VLE,323.35,Folas2007
206,methane,MEG,0.0116,0.000116,0.9884,99.8,99.8,VLE,323.35,Folas2007
207,methane,MEG,0.01149,0.0001149,0.98851,100.2,100.2,VLE,323.35,Folas2007
208,methane,MEG,0.01146,0.0001146,0.98854,100.8,100.8,VLE,323.45,Folas2007
209,methane,MEG,0.003,0.00003,0.997,23.9,23.9,VLE,323.15,Zheng1999
210,methane,MEG,0.003,0.00003,0.997,23.7,23.7,VLE,323.15,Zheng1999
211,methane,MEG,0.0066,0.000066,0.9934,59.8,59.8,VLE,323.15,Zheng1999
212,methane,MEG,0.011,0.00011,0.989,103,103,VLE,323.15,Zheng1999
213,methane,MEG,0.0148,0.000148,0.9852,159,159,VLE,323.15,Zheng1999
214,methane,MEG,0.0174,0.000174,0.9826,198,198,VLE,323.15,Zheng1999
215,methane,MEG,0.0179,0.000179,0.9821,200,200,VLE,323.15,Zheng1999
216,methane,MEG,0.0207,0.000207,0.9793,253,253,VLE,323.15,Zheng1999
217,methane,MEG,0.0224,0.000224,0.9776,292,292,VLE,323.15,Zheng1999
218,methane,MEG,0.0249,0.000249,0.9751,341,341,VLE,323.15,Zheng1999
219,methane,MEG,0.0268,0.000268,0.9732,395,395,VLE,323.15,Zheng1999
220,methane,MEG,0.0003,0.000003,0.9997,2,2,VLE,373.15,Zheng1999
221,methane,MEG,0.0039,0.000039,0.9961,29.1,29.1,VLE,373.15,Zheng1999
222,methane,MEG,0.0081,0.000081,0.9919,66.3,66.3,VLE,373.15,Zheng1999
223,methane,MEG,0.0123,0.000123,0.9877,103.8,103.8,VLE,373.15,Zheng1999
224,methane,MEG,0.0162,0.000162,0.9838,146.25,146.25,VLE,373.15,Zheng1999
225,methane,MEG,0.0204,0.000204,0.9796,194.1,194.1,VLE,373.15,Zheng1999
226,methane,MEG,0.0238,0.000238,0.9762,246.7,246.7,VLE,373.15,Zheng1999
227,methane,MEG,0.0273,0.000273,0.9727,303.52,303.52,VLE,373.15,Zheng1999
228,methane,MEG,0.0299,0.000299,0.9701,347,347,VLE,373.15,Zheng1999
229,methane,MEG,0.0322,0.000322,0.9678,396.17,396.17,VLE,373.15,Zheng1999
230,methane,MEG,0.0005,0.000005,0.9995,3.3,3.3,VLE,398.15,Zheng1999
231,methane,MEG,0.0005,0.000005,0.9995,3.3,3.3,VLE,398.15,Zheng1999
232,methane,MEG,0.005,0.00005,0.995,32.5,32.5,VLE,398.15,Zheng1999
233,methane,MEG,0.0104,0.000104,0.9896,76,76,VLE,398.15,Zheng1999
234,methane,MEG,0.0178,0.000178,0.9822,139.5,139.5,VLE,398.15,Zheng1999
235,methane,MEG,0.0244,0.000244,0.9756,202.5,202.5,VLE,398.15,Zheng1999
236,methane,MEG,0.0292,0.000292,0.9708,248.7,248.7,VLE,398.15,Zheng1999
237,methane,MEG,0.0339,0.000339,0.9661,300,300,VLE,398.15,Zheng1999
238,methane,MEG,0.0382,0.000382,0.9618,345.9,345.9,VLE,398.15,Zheng1999
239,methane,MEG,0.0421,0.000421,0.9579,396,396,VLE,398.15,Zheng1999
240,methane,MEG,0.000217,0.00000217,0.999783,1.35,1.35,VLE,298.15,Jou1994
241,methane,MEG,0.000932,0.00000932,0.999068,6.19,6.19,VLE,298.15,Jou1994
242,methane,MEG,0.00334,0.0000334,0.99666,23.8,23.8,VLE,298.15,Jou1994
243,methane,MEG,0.00759,0.0000759,0.99241,59.4,59.4,VLE,298.15,Jou1994
244,methane,MEG,0.0121,0.000121,0.9879,107.4,107.4,VLE,298.15,Jou1994
245,methane,MEG,0.0153,0.000153,0.9847,155.3,155.3,VLE,298.15,Jou1994
246,methane,MEG,0.0182,0.000182,0.9818,203.5,203.5,VLE,298.15,Jou1994
247,methane,MEG,0.000164,0.00000164,0.999836,1.05,1.05,VLE,323.15,Jou1994
248,methane,MEG,0.00112,0.0000112,0.99888,7.49,7.49,VLE,323.15,Jou1994
249,methane,MEG,0.00362,0.0000362,0.99638,25.9,25.9,VLE,323.15,Jou1994
250,methane,MEG,0.00741,0.0000741,0.99259,59.2,59.2,VLE,323.15,Jou1994
251,methane,MEG,0.0117,0.000117,0.9883,103.3,103.3,VLE,323.15,Jou1994
252,methane,MEG,0.0158,0.000158,0.9842,154.9,154.9,VLE,323.15,Jou1994
253,methane,MEG,0.0183,0.000183,0.9817,197,197,VLE,323.15,Jou1994
254,methane,MEG,0.000224,0.00000224,0.999776,1.5,1.5,VLE,348.15,Jou1994
255,methane,MEG,0.0011,0.000011,0.9989,7.83,7.83,VLE,348.15,Jou1994
256,methane,MEG,0.00368,0.0000368,0.99632,26.2,26.2,VLE,348.15,Jou1994
257,methane,MEG,0.00872,0.0000872,0.99128,68.3,68.3,VLE,348.15,Jou1994
258,methane,MEG,0.0128,0.000128,0.9872,108.7,108.7,VLE,348.15,Jou1994
259,methane,MEG,0.0164,0.000164,0.9836,148.6,148.6,VLE,348.15,Jou1994
260,methane,MEG,0.0194,0.000194,0.9806,190.1,190.1,VLE,348.15,Jou1994
261,methane,MEG,0.000229,0.00000229,0.999771,1.58,1.58,VLE,373.15,Jou1994
262,methane,MEG,0.000749,0.00000749,0.999251,4.97,4.97,VLE,373.15,Jou1994
263,methane,MEG,0.00438,0.0000438,0.99562,31.2,31.2,VLE,373.15,Jou1994
264,methane,MEG,0.00833,0.0000833,0.99167,64.6,64.6,VLE,373.15,Jou1994
265,methane,MEG,0.013,0.00013,0.987,102.5,102.5,VLE,373.15,Jou1994
266,methane,MEG,0.0174,0.000174,0.9826,145.9,145.9,VLE,373.15,Jou1994
267,methane,MEG,0.0203,0.000203,0.9797,182.9,182.9,VLE,373.15,Jou1994
268,methane,MEG,0.000209,0.0000209,0.99791,1.35,1.35,VLE,398.15,Jou1994
269,methane,MEG,0.00101,0.0000101,0.99899,6.66,6.66,VLE,398.15,Jou1994
270,methane,MEG,0.00521,0.0000521,0.99479,35.3,35.3,VLE,398.15,Jou1994
271,methane,MEG,0.0122,0.000122,0.9878,85.8,85.8,VLE,398.15,Jou1994
272,methane,MEG,0.0179,0.000179,0.9821,135.2,135.2,VLE,398.15,Jou1994
273,methane,MEG,0.0224,0.000224,0.9776,181.7,181.7,VLE,398.15,Jou1994
