,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,x2,Pressure,VapourPressure2,Type,Temperature,Reference,x_CPA,dev
0,134,methane,water,0.00156,0.1,0.99844,73.6,0,VLE,293.15,Addicks2001,0.000894653901025921,-42.65039095987686
1,135,methane,water,0.00201,0.1,0.99799,102.2,0,VLE,293.15,Addicks2001,0.0011376768126694064,-43.39916354878575
2,136,methane,water,0.0024,0.1,0.9976,139.2,0,VLE,293.15,Addicks2001,0.0013918712974813328,-42.005362604944466
3,137,methane,water,0.00274,0.1,0.99726,178.2,0,VLE,293.15,Addicks2001,0.0016066577721035688,-41.36285503271646
4,150,methane,water,3.323e-05,3.32e-07,0.99996677,1.0,1,VLE,283.15,Perry1998,1.5558160914898345e-05,-53.180376422213826
5,151,methane,water,2.6248e-05,2.62e-07,0.999973752,1.0,1,VLE,293.15,Perry1998,1.5016732287653928e-05,-42.78904187879485
6,152,methane,water,2.198e-05,2.2e-07,0.99997802,1.0,1,VLE,303.15,Perry1998,1.4515592704448898e-05,-33.95999679504596
7,153,methane,water,1.8979e-05,1.9e-07,0.999981021,1.0,1,VLE,313.15,Perry1998,1.396818809599724e-05,-26.401875251608402
8,154,methane,water,1.7104e-05,1.71e-07,0.999982896,1.0,1,VLE,323.15,Perry1998,1.3263414461894978e-05,-22.45431207965986
9,155,methane,water,1.5766e-05,1.58e-07,0.999984234,1.0,1,VLE,333.15,Perry1998,1.2253247214404371e-05,-22.280558071772354
10,156,methane,water,1.4819e-05,1.48e-07,0.999985181,1.0,1,VLE,343.15,Perry1998,1.0737764336481367e-05,-27.540560520403755
11,157,methane,water,6.6459e-05,6.65e-07,0.999933541,2.0,2,VLE,283.15,Perry1998,3.120158905919536e-05,-53.05137143322144
12,158,methane,water,5.2496e-05,5.25e-07,0.999947504,2.0,2,VLE,293.15,Perry1998,3.0296415850792308e-05,-42.28814414280648
13,159,methane,water,4.3961e-05,4.4e-07,0.999956039,2.0,2,VLE,303.15,Perry1998,2.958579956139732e-05,-32.69989408476304
14,160,methane,water,3.7959e-05,3.8e-07,0.999962041,2.0,2,VLE,313.15,Perry1998,2.8963683162020098e-05,-23.69745472214732
15,161,methane,water,3.4209e-05,3.42e-07,0.999965791,2.0,2,VLE,323.15,Perry1998,2.8305296786216118e-05,-17.257748585997486
16,162,methane,water,3.1531e-05,3.15e-07,0.999968469,2.0,2,VLE,333.15,Perry1998,2.7453429357965332e-05,-12.93194203176134
17,163,methane,water,2.9637e-05,2.96e-07,0.999970363,2.0,2,VLE,343.15,Perry1998,2.620252860966014e-05,-11.58845831339157
18,164,methane,water,0.000166149,1.661e-06,0.999833851,5.0,5,VLE,283.15,Perry1998,7.746377844830195e-05,-53.37692164966268
19,165,methane,water,0.00013124,1.312e-06,0.99986876,5.0,5,VLE,293.15,Perry1998,7.553483471945717e-05,-42.445264614860434
20,166,methane,water,0.000109902,1.099e-06,0.999890098,5.0,5,VLE,303.15,Perry1998,7.424951758877154e-05,-32.44024895928051
21,167,methane,water,9.4896e-05,9.49e-07,0.999905104,5.0,5,VLE,313.15,Perry1998,7.34463177690606e-05,-22.603357602996326
22,168,methane,water,8.5522e-05,8.55e-07,0.999914478,5.0,5,VLE,323.15,Perry1998,7.296170208822071e-05,-14.686627898995916
23,169,methane,water,7.8828e-05,7.88e-07,0.999921172,5.0,5,VLE,333.15,Perry1998,7.261255341614645e-05,-7.884820855347782
24,170,methane,water,7.4093e-05,7.41e-07,0.999925907,5.0,5,VLE,343.15,Perry1998,7.217766446921207e-05,-2.585042488207962
25,171,methane,water,0.000332297,3.323e-06,0.999667703,10.0,10,VLE,283.15,Perry1998,0.00015237610015886332,-54.14460553093669
26,172,methane,water,0.00026248,2.625e-06,0.99973752,10.0,10,VLE,293.15,Perry1998,0.00014896111903754002,-43.2485831158412
27,173,methane,water,0.000219805,2.198e-06,0.999780195,10.0,10,VLE,303.15,Perry1998,0.00014689335033753076,-33.17106055934544
28,174,methane,water,0.000189793,1.898e-06,0.999810207,10.0,10,VLE,313.15,Perry1998,0.00014592884139896878,-23.111578720517205
29,175,methane,water,0.000171044,1.71e-06,0.999828956,10.0,10,VLE,323.15,Perry1998,0.000145846744585859,-14.731446536646128
30,176,methane,water,0.000157655,1.577e-06,0.999842345,10.0,10,VLE,333.15,Perry1998,0.0001464261602416198,-7.1224127102725685
31,177,methane,water,0.000148187,1.482e-06,0.999851813,10.0,10,VLE,343.15,Perry1998,0.00014742381990788588,-0.5150115004110573
32,178,methane,water,0.000664595,6.646e-06,0.999335405,20.0,20,VLE,283.15,Perry1998,0.00029425034888326567,-55.72486267828292
33,179,methane,water,0.000524959,5.25e-06,0.999475041,20.0,20,VLE,293.15,Perry1998,0.00028865442540128164,-45.013910533721365
34,180,methane,water,0.000439609,4.396e-06,0.999560391,20.0,20,VLE,303.15,Perry1998,0.00028565152944042167,-35.02145555700141
35,181,methane,water,0.000379586,3.796e-06,0.999620414,20.0,20,VLE,313.15,Perry1998,0.0002848686512787525,-24.952803507307298
36,182,methane,water,0.000342088,3.421e-06,0.999657912,20.0,20,VLE,323.15,Perry1998,0.0002859964808178192,-16.396809938431275
37,183,methane,water,0.000315311,3.153e-06,0.999684689,20.0,20,VLE,333.15,Perry1998,0.00028875790140388665,-8.421240805462967
38,184,methane,water,0.000296373,2.964e-06,0.999703627,20.0,20,VLE,343.15,Perry1998,0.0002928799702147423,-1.1785924444054205
39,185,methane,water,0.001661487,1.6615e-05,0.998338513,50.0,50,VLE,283.15,Perry1998,0.0006615948575932158,-60.18055768156984
40,186,methane,water,0.001312398,1.3124e-05,0.998687602,50.0,50,VLE,293.15,Perry1998,0.0006550822311980715,-50.085093759814356
41,187,methane,water,0.001099024,1.099e-05,0.998900976,50.0,50,VLE,303.15,Perry1998,0.0006537491798716583,-40.51547738068885
42,188,methane,water,0.000948965,9.49e-06,0.999051035,50.0,50,VLE,313.15,Perry1998,0.0006570899655492173,-30.75719699364915
43,189,methane,water,0.000855219,8.552e-06,0.999144781,50.0,50,VLE,323.15,Perry1998,0.000664715262262152,-22.275433279411246
44,190,methane,water,0.000788277,7.883e-06,0.999211723,50.0,50,VLE,333.15,Perry1998,0.00067631611666268,-14.203241162347751
45,191,methane,water,0.000740933,7.409e-06,0.999259067,50.0,50,VLE,343.15,Perry1998,0.0006916325478708274,-6.6538340348145635
46,192,methane,water,0.003322974,3.323e-05,0.996677026,100.0,100,VLE,283.15,Perry1998,0.0011147558955023607,-66.45306597336119
47,193,methane,water,0.002624796,2.6248e-05,0.997375204,100.0,100,VLE,293.15,Perry1998,0.00112059134345668,-57.30748814549093
48,194,methane,water,0.002198047,2.198e-05,0.997801953,100.0,100,VLE,303.15,Perry1998,0.0011331064451829736,-48.44939870789962
49,195,methane,water,0.001897929,1.8979e-05,0.998102071,100.0,100,VLE,313.15,Perry1998,0.001152170011911768,-39.29330275728081
50,196,methane,water,0.001710439,1.7104e-05,0.998289561,100.0,100,VLE,323.15,Perry1998,0.0011776953710723093,-31.146602066936662
51,197,methane,water,0.001576555,1.5766e-05,0.998423445,100.0,100,VLE,333.15,Perry1998,0.0012096435568474402,-23.272987187415595
52,198,methane,water,0.001481867,1.4819e-05,0.998518133,100.0,100,VLE,343.15,Perry1998,0.0012480175547572693,-15.780731013156421
