,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,x2,Pressure,VapourPressure2,Type,Temperature,Reference,x_CPA,dev
0,134,methane,water,0.00156,0.1,0.99844,73.6,0,VLE,293.15,Addicks2001,0.0016722927835736228,7.198255357283514
1,135,methane,water,0.00201,0.1,0.99799,102.2,0,VLE,293.15,Addicks2001,0.0021323799647585085,6.088555460622312
2,136,methane,water,0.0024,0.1,0.9976,139.2,0,VLE,293.15,Addicks2001,0.002616638203131413,9.026591797142212
3,137,methane,water,0.00274,0.1,0.99726,178.2,0,VLE,293.15,Addicks2001,0.003028466840523547,10.527986880421434
4,150,methane,water,3.323e-05,3.32e-07,0.99996677,1.0,1,VLE,283.15,Perry1998,3.368086028154797e-05,1.3567868839842556
5,151,methane,water,2.6248e-05,2.62e-07,0.999973752,1.0,1,VLE,293.15,Perry1998,2.7810702366521412e-05,5.953605480499132
6,152,methane,water,2.198e-05,2.2e-07,0.99997802,1.0,1,VLE,303.15,Perry1998,2.336215924295929e-05,6.288258612189679
7,153,methane,water,1.8979e-05,1.9e-07,0.999981021,1.0,1,VLE,313.15,Perry1998,1.981276433910404e-05,4.3930888829972075
8,154,methane,water,1.7104e-05,1.71e-07,0.999982896,1.0,1,VLE,323.15,Perry1998,1.6789023422814518e-05,-1.8415375186241982
9,155,methane,water,1.5766e-05,1.58e-07,0.999984234,1.0,1,VLE,333.15,Perry1998,1.3997822873491675e-05,-11.215128291946758
10,156,methane,water,1.4819e-05,1.48e-07,0.999985181,1.0,1,VLE,343.15,Perry1998,1.1182585214262435e-05,-24.53886757363901
11,157,methane,water,6.6459e-05,6.65e-07,0.999933541,2.0,2,VLE,283.15,Perry1998,6.756034510457579e-05,1.6571797718530088
12,158,methane,water,5.2496e-05,5.25e-07,0.999947504,2.0,2,VLE,293.15,Perry1998,5.6117051737512486e-05,6.897766948934178
13,159,methane,water,4.3961e-05,4.4e-07,0.999956039,2.0,2,VLE,303.15,Perry1998,4.7622308290938675e-05,8.32853731930273
14,160,methane,water,3.7959e-05,3.8e-07,0.999962041,2.0,2,VLE,313.15,Perry1998,4.108593070692165e-05,8.237653012254407
15,161,methane,water,3.4209e-05,3.42e-07,0.999965791,2.0,2,VLE,323.15,Perry1998,3.58310992028731e-05,4.741732301070192
16,162,methane,water,3.1531e-05,3.15e-07,0.999968469,2.0,2,VLE,333.15,Perry1998,3.136303393270678e-05,-0.5327013646672154
17,163,methane,water,2.9637e-05,2.96e-07,0.999970363,2.0,2,VLE,343.15,Perry1998,2.728820181994302e-05,-7.925222458605728
18,164,methane,water,0.000166149,1.661e-06,0.999833851,5.0,5,VLE,283.15,Perry1998,0.00016783454149134396,1.0144758568176433
19,165,methane,water,0.00013124,1.312e-06,0.99986876,5.0,5,VLE,293.15,Perry1998,0.0001399748263397969,6.655612877016837
20,166,methane,water,0.000109902,1.099e-06,0.999890098,5.0,5,VLE,303.15,Perry1998,0.00011955454584749883,8.782866415077823
21,167,methane,water,9.4896e-05,9.49e-07,0.999905104,5.0,5,VLE,313.15,Perry1998,0.00010421049420450755,9.815476104901744
22,168,methane,water,8.5522e-05,8.55e-07,0.999914478,5.0,5,VLE,323.15,Perry1998,9.23748577257798e-05,8.012976457262226
23,169,methane,water,7.8828e-05,7.88e-07,0.999921172,5.0,5,VLE,333.15,Perry1998,8.296012349117894e-05,5.241948915587033
24,170,methane,water,7.4093e-05,7.41e-07,0.999925907,5.0,5,VLE,343.15,Perry1998,7.517000218712215e-05,1.4535815625256776
