Fluid,Property,Dataset,#T(K),P(MPa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,w (ms-1),T (  C)
H2-C1,JT,Randelman 1988,199.54,6.89313975,0.5657,,,,,1,2.582778189,,-73.61
H2-C1,JT,Randelman 1988,198.68,6.23858025,0.5657,,,,,1,2.679496669,,-74.47
H2-C1,JT,Randelman 1988,196.09,5.82314775,0.5657,,,,,1,2.77029361,,-77.06
H2-C1,JT,Randelman 1988,194.96,5.08144875,0.5657,,,,,1,2.983469035,,-78.19
H2-C1,JT,Randelman 1988,192.59,4.44715425,0.5657,,,,,1,3.221317543,,-80.56
H2-C1,JT,Randelman 1988,191.21,3.9334365,0.5657,,,,,1,3.45028374,,-81.94
H2-C1,JT,Randelman 1988,188.85,3.343725,0.5657,,,,,1,3.75524303,,-84.3
H2-C1,JT,Randelman 1988,181.63,7.23764475,0.5657,,,,,2,2.808783617,,-91.52
H2-C1,JT,Randelman 1988,178.71,6.41083275,0.5657,,,,,2,3.053540587,,-94.44
H2-C1,JT,Randelman 1988,176.62,5.61847125,0.5657,,,,,2,3.338761411,,-96.53
H2-C1,JT,Randelman 1988,173.86,4.8250965,0.5657,,,,,2,3.674315322,,-99.29
H2-C1,JT,Randelman 1988,170.96,4.06819875,0.5657,,,,,2,4.041450777,,-102.19
H2-C1,JT,Randelman 1988,164.19,2.61925125,0.5657,,,,,2,4.872440168,,-108.96
H2-C1,JT,Randelman 1988,157.87,1.37092725,0.5657,,,,,2,5.721194177,,-115.28
H2-C1,JT,Randelman 1988,215.25,7.58214975,0.5657,,,,,3,1.991611152,,-57.9
H2-C1,JT,Randelman 1988,212.43,6.6529995,0.5657,,,,,3,2.372563533,,-60.72
H2-C1,JT,Randelman 1988,210.85,5.5141065,0.5657,,,,,3,2.796940538,,-62.3
H2-C1,JT,Randelman 1988,206.97,4.515042,0.5657,,,,,3,3.129533679,,-66.18
H2-C1,JT,Randelman 1988,203.22,3.4470765,0.5657,,,,,3,3.444362201,,-69.93
H2-C1,JT,Randelman 1988,198.85,2.05993725,0.5657,,,,,3,3.790772267,,-74.3
H2-C1,JT,Randelman 1988,192.58,0.55222125,0.5657,,,,,3,4.085862324,,-80.57
H2-C1,JT,Randelman 1988,204,5.1696015,0.5657,,,,,4,2.699235134,,-69.15
H2-C1,JT,Randelman 1988,202,4.37825325,0.5657,,,,,4,2.961756723,,-71.15
H2-C1,JT,Randelman 1988,199.12,3.5848785,0.5657,,,,,4,3.225265236,,-74.03
H2-C1,JT,Randelman 1988,197.61,3.068121,0.5657,,,,,4,3.396989884,,-75.54
H2-C1,JT,Randelman 1988,195.72,2.44699875,0.5657,,,,,4,3.60424377,,-77.43
H2-C1,JT,Randelman 1988,193.17,1.86134025,0.5657,,,,,4,3.799654577,,-79.98
H2-C1,JT,Randelman 1988,190.62,1.17233025,0.5657,,,,,4,4.030594621,,-82.53
H2-C1,JT,Randelman 1988,219.44,6.72088725,0.127,,,,,5,6.668640513,,-53.71
H2-C1,JT,Randelman 1988,213.48,5.99844,0.127,,,,,5,7.547989144,,-59.67
H2-C1,JT,Randelman 1988,208.68,5.191893,0.127,,,,,5,8.638539354,,-64.47
H2-C1,JT,Randelman 1988,204.03,4.8250965,0.127,,,,,5,9.174438687,,-69.12
H2-C1,JT,Randelman 1988,200.88,4.48160475,0.127,,,,,5,9.697508019,,-72.27
H2-C1,JT,Randelman 1988,197.53,4.138113,0.127,,,,,5,10.24228966,,-75.62
H2-C1,JT,Randelman 1988,190.31,3.44606325,0.127,,,,,5,11.4019245,,-82.84
H2-C1,JT,Randelman 1988,198.22,4.827123,0.127,,,,,6,9.097458673,,-74.93
H2-C1,JT,Randelman 1988,192.64,4.1806695,0.127,,,,,6,9.417221811,,-80.51
H2-C1,JT,Randelman 1988,185.08,3.52307025,0.127,,,,,6,10.45151739,,-88.07
H2-C1,JT,Randelman 1988,178.74,2.7499605,0.127,,,,,6,12.57735011,,-94.41
H2-C1,JT,Randelman 1988,167.72,2.075136,0.127,,,,,6,15.23908216,,-105.43
H2-C1,JT,Randelman 1988,155.92,1.394232,0.127,,,,,6,18.68739206,,-117.23
H2-C1,JT,Randelman 1988,133.57,0.344505,0.127,,,,,6,25.50308414,,-139.58
H2-C1,JT,Randelman 1988,220.18,5.51511975,0.127,,,,,7,7.378238342,,-52.97
H2-C1,JT,Randelman 1988,216.91,5.06726325,0.127,,,,,7,7.711818406,,-56.24
H2-C1,JT,Randelman 1988,211.72,4.48160475,0.127,,,,,7,8.294103133,,-61.43
H2-C1,JT,Randelman 1988,207.55,3.93039675,0.127,,,,,7,8.992844806,,-65.6
H2-C1,JT,Randelman 1988,200.5,3.1714725,0.127,,,,,7,10.19590427,,-72.65
H2-C1,JT,Randelman 1988,193.31,2.58480075,0.127,,,,,7,11.31408833,,-79.84
H2-C1,JT,Randelman 1988,185.52,1.888698,0.127,,,,,7,12.85862324,,-87.63
H2-C1,JT,Randelman 1988,245.6,7.23764475,0.127,,,,,8,5.395509499,,-27.55
H2-C1,JT,Randelman 1988,238.2,6.37638225,0.127,,,,,8,5.761658031,,-34.95
H2-C1,JT,Randelman 1988,235.33,5.51511975,0.127,,,,,8,6.420922773,,-37.82
