,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,Pressure,VapourPressure2,Type,Temperature,Reference,x_CPA_fitted,dev_fitted
0,1,CO2,water,0.000985,1.97e-05,1.01325,0,VLE,283.15,Houghton1957,0.0008809249361645021,-10.565996328476944
1,2,CO2,water,0.001946,2.3892e-05,2.0265,0,VLE,283.15,Houghton1957,0.0017691918981344707,-9.085719520325249
2,3,CO2,water,0.0038,7.6e-05,4.053,0,VLE,283.15,Houghton1957,0.00353422666895402,-6.994035027525792
3,4,CO2,water,0.00556,0.0001112,6.0795,0,VLE,283.15,Houghton1957,0.005283132562860047,-4.979630164387641
4,5,CO2,water,0.00723,0.0001446,8.106,0,VLE,283.15,Houghton1957,0.007014896337162169,-2.975154396097247
5,6,CO2,water,0.00881,0.000206,10.1325,0,VLE,283.15,Houghton1957,0.00872843598623596,-0.9258117339845573
6,7,CO2,water,0.0103,0.000234,12.159,0,VLE,283.15,Houghton1957,0.010422596700342021,1.1902592266215664
7,8,CO2,water,0.0117,0.0002604,14.1855,0,VLE,283.15,Houghton1957,0.012096146407289933,3.385866728973783
8,9,CO2,water,0.01424,0.0002848,18.2385,0,VLE,283.15,Houghton1957,0.015376067698781375,7.978003502678201
9,10,CO2,water,0.01538,0.0003076,20.265,0,VLE,283.15,Houghton1957,0.01697954060646972,10.400133982247855
10,11,CO2,water,0.01644,0.0003288,22.2915,0,VLE,283.15,Houghton1957,0.018556591128161878,12.874641898794877
11,12,CO2,water,0.00688364,0.000137673,10.12,0,VLE,293.15,Addicks2001,0.007327926219024434,6.4542337923603545
12,13,CO2,water,0.00944248,0.00018885,15.07,0,VLE,293.15,Addicks2001,0.01078257814222599,14.192226430196209
13,14,CO2,water,0.01236172,0.000247234,20.2,0,VLE,293.15,Addicks2001,0.014249909610253618,15.274489393495555
14,15,CO2,water,0.0149025,0.00029805,25.33,0,VLE,293.15,Addicks2001,0.017587166490303646,18.014873278333468
15,16,CO2,water,0.001445,2.89e-05,1.01325,0,VLE,273.15,Houghton1957,0.001075213644019706,-25.590751278913082
16,17,CO2,water,0.00289,5.78e-05,2.02065,0,VLE,273.15,Houghton1957,0.0021467150653122495,-25.719201892309712
17,18,CO2,water,0.0056,0.000112,4.053,0,VLE,273.15,Houghton1957,0.004295045675459385,-23.302755795368117
18,19,CO2,water,0.00814,0.0001628,6.0795,0,VLE,273.15,Houghton1957,0.006418362903937196,-21.150332875464414
19,20,CO2,water,0.01271,0.0002542,10.1325,0,VLE,273.15,Houghton1957,0.010602836171534149,-16.578787006025582
20,21,CO2,water,0.01474,0.0002948,12.159,0,VLE,273.15,Houghton1957,0.01266074129872812,-14.106232708764448
21,22,CO2,water,0.0166,0.000332,14.1855,0,VLE,273.15,Houghton1957,0.014693315788430288,-11.48604946728742
22,23,CO2,water,0.01831,0.0003662,18.23,0,VLE,273.15,Houghton1957,0.018665803785037453,1.9432211088883315
23,24,CO2,water,0.02123,0.0004246,20.265,0,VLE,273.15,Houghton1957,0.020617403710085476,-2.885521855461719
24,25,CO2,water,0.000802,1.604e-05,1.01325,0,VLE,288.15,Houghton1957,0.0008023131643566762,0.03904792477259516
25,26,CO2,water,0.001587,3.174e-05,2.02,0,VLE,288.15,Houghton1957,0.0016099534880688999,1.4463445538059094
26,27,CO2,water,0.00311,6.22e-05,4.053,0,VLE,288.15,Houghton1957,0.0032302206909429767,3.865617072121439
27,28,CO2,water,0.00458,9.16e-05,6.0795,0,VLE,288.15,Houghton1957,0.004830445924194667,5.468251619970898
28,29,CO2,water,0.00598,0.0001196,8.106,0,VLE,288.15,Houghton1957,0.0064149834708243795,7.273971084019721
29,30,CO2,water,0.00732,0.0001464,10.1325,0,VLE,288.15,Houghton1957,0.007982936526837172,9.056509929469565
