,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,Pressure,VapourPressure2,Type,Temperature,Reference,x_CPA_fitted,dev_fitted
30,31,CO2,water,0.0086,0.000172,12.159,0,VLE,288.15,Houghton1957,0.00953335818230905,10.853002119872677
31,32,CO2,water,0.00982,0.0001964,14.1855,0,VLE,288.15,Houghton1957,0.011065248874377131,12.680742101600107
32,33,CO2,water,0.01099,0.0002198,16.212,0,VLE,288.15,Houghton1957,0.012577553577116466,14.445437462388226
33,34,CO2,water,0.01209,0.0002418,18.2385,0,VLE,288.15,Houghton1957,0.014069158660198006,16.37021224315968
34,35,CO2,water,0.01313,0.0002626,20.265,0,VLE,288.15,Houghton1957,0.015538888324844154,18.346445733771173
35,36,CO2,water,0.000692,1.384e-05,1.01325,0,VLE,293.15,Houghton1957,0.000733133309008129,5.944119798862578
36,37,CO2,water,0.001374,2.748e-05,2.02,0,VLE,293.15,Houghton1957,0.0014758357357570948,7.411625600953041
37,38,CO2,water,0.0027,5.4e-05,4.053,0,VLE,293.15,Houghton1957,0.0029658059639307436,9.844665330768274
38,39,CO2,water,0.00399,7.98e-05,6.0795,0,VLE,293.15,Houghton1957,0.004437371522821011,11.212318867694526
39,40,CO2,water,0.00524,0.0001048,8.106,0,VLE,293.15,Houghton1957,0.0058946083576417955,12.492525909194573
40,41,CO2,water,0.00644,0.0001288,10.1325,0,VLE,293.15,Houghton1957,0.0073367741282888786,13.925064103864567
41,42,CO2,water,0.0076,0.000152,12.159,0,VLE,293.15,Houghton1957,0.008763091795729353,15.303839417491485
42,43,CO2,water,0.00872,0.0001744,14.1855,0,VLE,293.15,Houghton1957,0.010172748194715336,16.659956361414405
43,44,CO2,water,0.00981,0.0001962,16.212,0,VLE,293.15,Houghton1957,0.011564892475746514,17.888812189057234
44,45,CO2,water,0.01084,0.0002168,18.2385,0,VLE,293.15,Houghton1957,0.01293863438274638,19.36009578179317
45,46,CO2,water,0.01184,0.0002368,20.265,0,VLE,293.15,Houghton1957,0.014293042318510845,20.718262825260517
46,47,CO2,water,0.000608,1.216e-05,1.01325,0,VLE,298.15,Houghton1957,0.0006716676104271974,10.471646451841677
47,48,CO2,water,0.001207,2.414e-05,2.02,0,VLE,298.15,Houghton1957,0.0013578401066244178,12.497109082387556
48,49,CO2,water,0.00239,4.78e-05,4.053,0,VLE,298.15,Houghton1957,0.002734441340544789,14.411771570911672
49,50,CO2,water,0.00353,7.06e-05,6.0795,0,VLE,298.15,Houghton1957,0.004094137606083103,15.98123529980462
50,51,CO2,water,0.00465,9.3e-05,8.106,0,VLE,298.15,Houghton1957,0.005440758172057705,17.005552087262487
51,52,CO2,water,0.00574,0.0001148,10.1325,0,VLE,298.15,Houghton1957,0.006773688146044164,18.00850428648368
52,53,CO2,water,0.0068,0.000136,12.159,0,VLE,298.15,Houghton1957,0.00809228849034211,19.004242505031037
53,54,CO2,water,0.00783,0.0001566,14.1855,0,VLE,298.15,Houghton1957,0.009395895251437148,19.99866221503382
54,55,CO2,water,0.00883,0.0001766,16.212,0,VLE,298.15,Houghton1957,0.010683818728348516,20.994549584920918
55,56,CO2,water,0.0098,0.000196,18.2385,0,VLE,298.15,Houghton1957,0.011955342562477376,21.99329145385078
56,57,CO2,water,0.000473,9.46e-06,1.01325,0,VLE,308.15,Houghton1957,0.0005663401069637346,19.733637835884682
57,58,CO2,water,0.000943,1.886e-05,2.0265,0,VLE,308.15,Houghton1957,0.0011635314633244372,23.386157298455686
58,59,CO2,water,0.001868,3.736e-05,4.053,0,VLE,308.15,Houghton1957,0.0023503097414023246,25.819579304192956
59,60,CO2,water,0.00278,5.56e-05,6.0795,0,VLE,308.15,Houghton1957,0.003526612901529415,26.85657919170558
60,61,CO2,water,0.00367,7.34e-05,8.106,0,VLE,308.15,Houghton1957,0.004692027849159091,27.84817027681446
61,62,CO2,water,0.00454,9.08e-05,10.1325,0,VLE,308.15,Houghton1957,0.005846129863055295,28.769380243508706
62,63,CO2,water,0.00539,0.0001078,12.159,0,VLE,308.15,Houghton1957,0.006988482435278834,29.65644592354052
63,64,CO2,water,0.000342,6.84e-06,1.01325,0,VLE,323.15,Houghton1957,0.0004363325624110258,27.58262058801923
64,65,CO2,water,0.000683,1.366e-05,2.02,0,VLE,323.15,Houghton1957,0.0009277207568439364,35.83027186587648
65,66,CO2,water,0.001354,2.708e-05,4.053,0,VLE,323.15,Houghton1957,0.0019140942374859826,41.36589641698543
66,67,CO2,water,0.00202,4.04e-05,6.0795,0,VLE,323.15,Houghton1957,0.002889229891176849,43.031182731527174
67,68,CO2,water,0.00266,5.32e-05,8.106,0,VLE,323.15,Houghton1957,0.003856047944129334,44.96420842591482
68,69,CO2,water,0.0033,6.6e-05,10.1325,0,VLE,323.15,Houghton1957,0.00481429822594481,45.887825028630594
69,70,CO2,water,0.00393,7.86e-05,12.159,0,VLE,323.15,Houghton1957,0.005763726591282222,46.659709701837706
70,71,CO2,water,0.00455,9.1e-05,14.1855,0,VLE,323.15,Houghton1957,0.006704074986036317,47.34230738541355
71,72,CO2,water,0.00515,0.000103,16.212,0,VLE,323.15,Houghton1957,0.007635081520158492,48.25401010016489
72,73,CO2,water,0.00575,0.000115,18.2385,0,VLE,323.15,Houghton1957,0.008556480547017506,48.808357339434885
73,74,CO2,water,0.00634,0.0001268,20.265,0,VLE,323.15,Houghton1957,0.00946800274938392,49.337582797853614
74,75,CO2,water,0.00691,0.0001382,22.2915,0,VLE,323.15,Houghton1957,0.010369375230640156,50.06331737540023
75,76,CO2,water,0.000248,4.96e-06,1.01325,0,VLE,348.15,Houghton1957,0.0002414498792225738,-2.6411777328331545
76,77,CO2,water,0.000495,9.9e-06,2.0265,0,VLE,348.15,Houghton1957,0.0006274962464343654,26.76691847158897
77,78,CO2,water,0.000984,1.968e-05,4.053,0,VLE,348.15,Houghton1957,0.0013956677386410816,41.83615230092292
78,79,CO2,water,0.001465,2.93e-05,6.0795,0,VLE,348.15,Houghton1957,0.0021585180616891567,47.339116838850295
79,80,CO2,water,0.001941,3.882e-05,8.106,0,VLE,348.15,Houghton1957,0.0029159353066100326,50.22850626532883
80,81,CO2,water,0.00241,4.82e-05,10.1325,0,VLE,348.15,Houghton1957,0.003667807057112682,52.19116419554699
81,82,CO2,water,0.00287,5.74e-05,12.159,0,VLE,348.15,Houghton1957,0.0044140204558661,53.79862215561324
82,83,CO2,water,0.00333,6.66e-05,14.1855,0,VLE,348.15,Houghton1957,0.005154462274404773,54.788656889032204
83,84,CO2,water,0.00378,7.56e-05,16.212,0,VLE,348.15,Houghton1957,0.005889018986789651,55.794153089673316
84,85,CO2,water,0.000187,3.74e-06,1.01325,0,VLE,373.15,Houghton1957,,
85,86,CO2,water,0.000373,7.46e-06,2.02,0,VLE,373.15,Houghton1957,,
86,87,CO2,water,0.000743,1.486e-05,4.053,0,VLE,373.15,Houghton1957,0.0009685615693424982,30.35821929239546
87,88,CO2,water,0.001111,2.222e-05,6.0795,0,VLE,373.15,Houghton1957,0.0016074418834776854,44.68423793678536
88,89,CO2,water,0.001477,2.954e-05,8.106,0,VLE,373.15,Houghton1957,0.0022426744070205627,51.83983798378894
89,90,CO2,water,0.001841,3.682e-05,10.1325,0,VLE,373.15,Houghton1957,0.002874203121294415,56.121842547225164
90,91,CO2,water,0.0022,4.4e-05,12.159,0,VLE,373.15,Houghton1957,0.0035019721618952497,59.18055281342043
91,92,CO2,water,0.000500381,1.00076e-05,1.54,0,VLE,323.15,Zawisza1981,0.0006936750295264925,38.629370325110756
92,93,CO2,water,0.001602981,3.20596e-05,4.88,0,VLE,323.15,Zawisza1981,0.0023130287531322354,44.2954565981902
93,94,CO2,water,0.0025069,5.0138e-05,7.62,0,VLE,323.15,Zawisza1981,0.0036249548571745368,44.59910076885943
94,95,CO2,water,0.0030098,6.0196e-05,8.92,0,VLE,323.15,Zawisza1981,0.004241999518410083,40.93958131470805
95,96,CO2,water,0.00462247,9.24494e-05,14.41,0,VLE,323.15,Zawisza1981,0.006807678822521264,47.27361827164403
96,97,CO2,water,0.0076601,0.000153202,25.05,0,VLE,323.15,Zawisza1981,0.011579526612475828,51.166781275385794
97,98,CO2,water,0.00050038,1.00076e-05,2.37,0,VLE,348.15,Zawisza1981,0.0007580741893335421,51.499698096155335
98,99,CO2,water,0.00462247,9.24494e-05,21.0,0,VLE,348.15,Zawisza1981,0.00760051594191144,64.42542497650476
99,100,CO2,water,0.007660193,0.000153204,35.91,0,VLE,348.15,Zawisza1981,0.012699288970725284,65.78288524486634
100,101,CO2,water,0.00050038,1.00076e-05,3.56,0,VLE,373.15,Zawisza1981,0.0008125916388050461,62.394907631209485
101,102,CO2,water,0.00462247,9.24494e-05,27.01,0,VLE,373.15,Zawisza1981,0.00798253813258955,72.68988511747074
102,103,CO2,water,0.00472124,9.44248e-05,2.33,0,VLE,353.65,Nighswander1989,0.0006749952954884876,-85.70300820359721
103,104,CO2,water,0.01133458,0.000226692,6.11,0,VLE,353.65,Nighswander1989,0.0020400378268187022,-82.00164605288681
104,105,CO2,water,0.01389342,0.000277868,7.76,0,VLE,353.65,Nighswander1989,0.002630506602587511,-81.06652931684559
105,106,CO2,water,0.01400154,0.000280031,7.84,0,VLE,353.65,Nighswander1989,0.0026590507788416895,-81.0088691755215
106,107,CO2,water,0.00857752,0.00017155,4.31,0,VLE,353.35,Nighswander1989,0.0013975277666666982,-83.7070882181948
107,108,CO2,water,0.0084694,0.000169388,4.34,0,VLE,353.75,Nighswander1989,0.0014011617377029653,-83.45618653383988
108,109,CO2,water,0.0166685,0.00033337,10.16,0,VLE,353.45,Nighswander1989,0.0034902088265381967,-79.06105032523504
109,110,CO2,water,0.01688474,0.000337695,10.18,0,VLE,352.85,Nighswander1989,0.0035179093109901733,-79.16515557248631
110,111,CO2,water,0.0012028,2.4056e-05,0.914347,0,VLE,273.15,Morgan1931,0.0009697893937396786,-19.37234837548398
111,112,CO2,water,0.00151,3.02e-05,1.14326,0,VLE,273.15,Morgan1931,0.001213734549185399,-19.620228530768287
112,113,CO2,water,9.829e-05,1.9658e-06,0.12103,0,VLE,283.15,Morgan1931,9.570727752815044e-05,-2.6276553788275048
113,114,CO2,water,0.00025032,5.0064e-06,0.286891,0,VLE,283.15,Morgan1931,0.0002418894264018317,-3.367918503582738
114,115,CO2,water,0.00053175,1.0635e-05,0.57753,0,VLE,283.15,Morgan1931,0.0004978120032722818,-6.38232190460145
115,116,CO2,water,0.000810269,1.62054e-05,0.871776,0,VLE,283.15,Morgan1931,0.0007566061395519583,-6.6228450610898
116,117,CO2,water,0.0010159,2.0318e-05,1.12616,0,VLE,283.15,Morgan1931,0.0009800919377781045,-3.524762498463964
117,118,CO2,water,8.846e-05,1.7692e-06,0.143432,0,VLE,291.15,Morgan1931,9.401535723827462e-05,6.280078270715145
118,119,CO2,water,0.00023762,4.7524e-06,0.32675,0,VLE,291.15,Morgan1931,0.00023452721035639674,-1.3015695832014345
119,120,CO2,water,0.0004673,9.346e-06,0.67552,0,VLE,291.15,Morgan1931,0.0005015673899387896,7.33306011957834
120,121,CO2,water,0.000713689,1.42738e-05,1.01296,0,VLE,291.15,Morgan1931,0.0007595687946515299,6.4285416549126975
121,122,CO2,water,8.19e-05,1.638e-06,0.163145,0,VLE,298.15,Morgan1931,9.002054097675183e-05,9.91519044780444
122,123,CO2,water,0.00020564,4.1128e-06,0.368862,0,VLE,298.15,Morgan1931,0.0002309590485809037,12.312316952394342
123,124,CO2,water,0.00042011,8.4022e-06,0.75123,0,VLE,298.15,Morgan1931,0.0004926083788870238,17.256999092386234
124,125,CO2,water,0.0006393,1.2786e-05,1.112747,0,VLE,298.15,Morgan1931,0.0007396109696958275,15.690750773631704
125,126,CO2,water,0.0013334,2.6668e-05,1.0,0,VLE,274.19,Murray1971,0.0010384192190734777,-22.122452446866824
126,127,CO2,water,0.00114905,2.2981e-05,1.0,0,VLE,278.15,Murray1971,0.0009582593041771582,-16.60421181174377
127,128,CO2,water,0.000965001,1.93e-05,1.0,0,VLE,283.15,Murray1971,0.0008692846785975676,-9.918779504107505
128,129,CO2,water,0.00081745,1.6349e-05,1.0,0,VLE,288.15,Murray1971,0.0007916610184712376,-3.154808432168616
129,130,CO2,water,0.00070066,1.40132e-05,1.0,0,VLE,293.15,Murray1971,0.0007233375517364699,3.2365985979604814
130,131,CO2,water,0.00060943,1.21886e-05,1.0,0,VLE,298.15,Murray1971,0.0006626174857244095,8.727415080388147
131,132,CO2,water,0.000514386,1.02877e-05,1.0,0,VLE,305.15,Murray1971,0.000587717948578664,14.256210040449002
132,133,CO2,water,0.0004798,9.596e-06,1.0,0,VLE,308.15,Murray1971,0.0005585143338659796,16.405655245097883
