Fluid,Property,Dataset,#T(K),P(MPa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,w (ms-1),T (  C)
H2-C1,Density,Magee1985,273.15,16.448,0.2005,110.1843244,,,,,,,0
H2-C1,Density,Magee1985,273.15,19.738,0.2005,130.7843476,,,,,,,0
H2-C1,Density,Magee1985,273.15,23.91,0.2005,153.7394151,,,,,,,0
H2-C1,Density,Magee1985,273.15,23.911,0.2005,153.7394151,,,,,,,0
H2-C1,Density,Magee1985,273.15,27.868,0.2005,172.2886974,,,,,,,0
H2-C1,Density,Magee1985,273.15,34.423,0.2005,197.3077365,,,,,,,0
H2-C1,Density,Magee1985,273.1599985,34.427,0.2005,197.3077365,,,,,,,0.00999854
H2-C1,Density,Magee1985,273.1699971,23.916,0.2005,153.7394151,,,,,,,0.01999708
H2-C1,Density,Magee1985,273.1699971,27.872,0.2005,172.2886974,,,,,,,0.01999708
H2-C1,Density,Magee1985,273.1799956,16.451,0.2005,110.1843244,,,,,,,0.02999562
H2-C1,Density,Magee1985,283.038088,37.02,0.2005,197.228353,,,,,,,9.888088
H2-C1,Density,Magee1985,283.118064,29.93,0.2005,172.2225445,,,,,,,9.968064
H2-C1,Density,Magee1985,283.148055,21.087,0.2005,130.7314252,,,,,,,9.998055
H2-C1,Density,Magee1985,284.417674,25.853,0.2005,153.6732622,,,,,,,11.267674
H2-C1,Density,Magee1985,284.527641,17.647,0.2005,110.1446326,,,,,,,11.377641
H2-C1,Density,Magee1985,287.906627,30.931,0.2005,172.1960833,,,,,,,14.756627
H2-C1,Density,Magee1985,292.475504,22.334,0.2005,130.6917334,,,,,,,19.325504
H2-C1,Density,Magee1985,293.34533,39.719,0.2005,197.1622,,,,,,,20.19533
H2-C1,Density,Magee1985,293.525294,18.587,0.2005,110.1049409,,,,,,,20.375294
H2-C1,Density,Magee1985,297.004598,32.797,0.2005,172.1299304,,,,,,,23.854598
H2-C1,Density,Magee1985,297.464506,28.09,0.2005,153.6071093,,,,,,,24.314506
H2-C1,Density,Magee1985,302.623211,42.113,0.2005,197.0828165,,,,,,,29.473211
H2-C1,Density,Magee1985,302.833148,23.722,0.2005,130.6388111,,,,,,,29.683148
H2-C1,Density,Magee1985,303.952812,34.227,0.2005,172.0902386,,,,,,,30.802812
H2-C1,Density,Magee1985,304.962509,19.781,0.2005,110.0520185,,,,,,,31.812509
H2-C1,Density,Magee1985,305.042485,29.384,0.2005,153.5674175,,,,,,,31.892485
H2-C1,Density,Magee1985,312.930118,30.72,0.2005,153.5144952,,,,,,,39.780118
H2-C1,Density,Magee1985,313.699887,25.161,0.2005,130.5858888,,,,,,,40.549887
H2-C1,Density,Magee1985,314.299707,36.341,0.2005,172.0240857,,,,,,,41.149707
H2-C1,Density,Magee1985,314.909524,20.816,0.2005,110.0255573,,,,,,,41.759524
H2-C1,Density,Magee1985,315.799257,45.517,0.2005,196.9902024,,,,,,,42.649257
H2-C1,Density,Magee1985,322.88713,26.378,0.2005,130.546197,,,,,,,49.73713
H2-C1,Density,Magee1985,324.08677,32.614,0.2005,153.4615728,,,,,,,50.93677
H2-C1,Density,Magee1985,325.056479,38.529,0.2005,171.9579327,,,,,,,51.906479
H2-C1,Density,Magee1985,325.626308,48.044,0.2005,196.9240495,,,,,,,52.476308
H2-C1,Density,Magee1985,333.504296,50.062,0.2005,196.8711271,,,,,,,60.354296
H2-C1,Density,Magee1985,334.174162,40.391,0.2005,171.9050104,,,,,,,61.024162
H2-C1,Density,Magee1985,334.33413,34.342,0.2005,153.3954199,,,,,,,61.18413
H2-C1,Density,Magee1985,337.743448,23.176,0.2005,109.9329432,,,,,,,64.593448
H2-C1,Density,Magee1985,343.991797,52.733,0.2005,196.7917436,,,,,,,70.841797
H2-C1,Density,Magee1985,344.58162,36.067,0.2005,153.3424975,,,,,,,71.43162
H2-C1,Density,Magee1985,345.771263,42.724,0.2005,171.8388575,,,,,,,72.621263
H2-C1,Density,Magee1985,346.88093,29.539,0.2005,130.4403523,,,,,,,73.73093
H2-C1,Density,Magee1985,352.759166,54.96,0.2005,196.7255907,,,,,,,79.609166
H2-C1,Density,Magee1985,353.518938,44.294,0.2005,171.7859351,,,,,,,80.368938
H2-C1,Density,Magee1985,353.688887,37.589,0.2005,153.3028058,,,,,,,80.538887
H2-C1,Density,Magee1985,354.628605,24.908,0.2005,109.8667903,,,,,,,81.478605
H2-C1,Density,Magee1985,362.006594,45.981,0.2005,171.7330128,,,,,,,88.856594
H2-C1,Density,Magee1985,365.455904,39.554,0.2005,153.2366528,,,,,,,92.305904
H2-C1,Density,Magee1985,365.62587,58.197,0.2005,196.6462071,,,,,,,92.47587
H2-C1,Density,Magee1985,371.404714,47.857,0.2005,171.6800904,,,,,,,98.254714
H2-C1,Density,Magee1985,373.754244,40.925,0.2005,153.1969611,,,,,,,100.604244
H2-C1,Density,Magee1985,374.784038,33.176,0.2005,130.321277,,,,,,,101.634038
H2-C1,Density,Magee1985,377.453504,27.232,0.2005,109.7874068,,,,,,,104.303504
H2-C1,Density,Magee1985,380.982798,49.761,0.2005,171.6271681,,,,,,,107.832798
H2-C1,Density,Magee1985,383.42231,42.524,0.2005,153.1440387,,,,,,,110.27231
H2-C1,Density,Magee1985,393.030388,35.529,0.2005,130.2418935,,,,,,,119.880388
H2-C1,Density,Magee1985,394.810032,28.986,0.2005,109.7212538,,,,,,,121.660032
H2-C1,Density,Magee1985,396.879618,52.907,0.2005,171.534554,,,,,,,123.729618
H2-C1,Density,Magee1985,402.658462,54.034,0.2005,171.5080928,,,,,,,129.508462
H2-C1,Density,Magee1985,406.387716,46.3,0.2005,153.038194,,,,,,,133.237716
H2-C1,Density,Magee1985,411.086776,55.69,0.2005,171.4551705,,,,,,,137.936776
H2-C1,Density,Magee1985,414.336126,47.597,0.2005,152.9985023,,,,,,,141.186126
H2-C1,Density,Magee1985,415.405912,31.063,0.2005,109.6551009,,,,,,,142.255912
H2-C1,Density,Magee1985,416.335726,38.52,0.2005,130.1492794,,,,,,,143.185726
H2-C1,Density,Magee1985,426.123768,49.511,0.2005,152.9323494,,,,,,,152.973768
H2-C1,Density,Magee1985,434.86251,40.888,0.2005,130.0698959,,,,,,,161.71251
H2-C1,Density,Magee1985,435.432453,51.019,0.2005,152.8926576,,,,,,,162.282453
H2-C1,Density,Magee1985,436.56234,33.168,0.2005,109.588948,,,,,,,163.41234
H2-C1,Density,Magee1985,445.201476,52.589,0.2005,152.8397352,,,,,,,172.051476
H2-C1,Density,Magee1985,453.981,53.994,0.2005,152.8000435,,,,,,,180.831
H2-C1,Density,Magee1985,454.621,43.376,0.2005,129.9905124,,,,,,,181.471
H2-C1,Density,Magee1985,461.800816,35.667,0.2005,109.4963339,,,,,,,188.650816
H2-C1,Density,Magee1985,464.990497,55.754,0.2005,152.7471211,,,,,,,191.840497
H2-C1,Density,Magee1985,476.64,46.142,0.2005,129.9111288,,,,,,,203.49
H2-C1,Density,Magee1985,477.5,37.2,0.2005,109.4434115,,,,,,,204.35
H2-C1,Density,Magee1985,493.37,38.757,0.2005,109.3904892,,,,,,,220.22
H2-C1,Density,Magee1985,495.16,48.443,0.2005,129.8317453,,,,,,,222.01
H2-C1,Density,Magee1985,503.36,49.461,0.2005,129.8052842,,,,,,,230.21
H2-C1,Density,Solbrig1963,138.7108892,8.004124,0.0903,100.3952195,,,,,,,-134.4391108
H2-C1,Density,Solbrig1963,155.3909998,9.17968,0.0903,100.9029372,,,,,,,-117.7590002
H2-C1,Density,Solbrig1963,172.0730001,10.281462,0.0903,100.7387605,,,,,,,-101.0769999
H2-C1,Density,Solbrig1963,172.0730001,12.207168,0.0903,118.2277098,,,,,,,-101.0769999
H2-C1,Density,Solbrig1963,188.7492224,11.381865,0.0903,100.5926741,,,,,,,-84.4007776
H2-C1,Density,Solbrig1963,188.7492224,13.570951,0.0903,118.0563617,,,,,,,-84.4007776
H2-C1,Density,Solbrig1963,205.4730278,12.482958,0.0903,100.4108685,,,,,,,-67.67697222
