Fluid,Property,Dataset,#T(K),P(MPa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,w (ms-1),T (  C)
H2-C1,Z,Mihara1977,298.15,7.93800315,0.22,,0.9456,,,,,,25
H2-C1,Z,Mihara1977,298.15,6.53080155,0.22,,0.9527,,,,,,25
H2-C1,Z,Mihara1977,298.15,5.168284275,0.22,,0.9608,,,,,,25
H2-C1,Z,Mihara1977,298.15,4.2467334,0.22,,0.9668,,,,,,25
H2-C1,Z,Mihara1977,298.15,3.3542628,0.22,,0.973,,,,,,25
H2-C1,Z,Mihara1977,298.15,2.751885675,0.22,,0.9776,,,,,,25
H2-C1,Z,Mihara1977,298.15,2.16936825,0.22,,0.982,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.77703785,0.22,,0.9851,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.398994275,0.22,,0.9883,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.14476985,0.22,,0.9903,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.900110505,0.22,,0.9922,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.736095728,0.22,,0.9936,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.578373233,0.22,,0.9949,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.472731788,0.22,,0.9958,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.371275065,0.22,,0.9966,,,,,,25
H2-C1,Z,Mihara1977,298.15,9.061798725,0.43,,0.9951,,,,,,25
H2-C1,Z,Mihara1977,298.15,7.45752,0.43,,0.9936,,,,,,25
H2-C1,Z,Mihara1977,298.15,5.797107225,0.43,,0.9934,,,,,,25
H2-C1,Z,Mihara1977,298.15,4.77868965,0.43,,0.9936,,,,,,25
H2-C1,Z,Mihara1977,298.15,3.718728825,0.43,,0.9944,,,,,,25
H2-C1,Z,Mihara1977,298.15,3.066398475,0.43,,0.9949,,,,,,25
H2-C1,Z,Mihara1977,298.15,2.386507725,0.43,,0.9959,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.967832825,0.43,,0.9963,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.531324725,0.43,,0.9971,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.2625095,0.43,,0.9975,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.982264815,0.43,,0.9981,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.809779268,0.43,,0.9984,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.62979567,0.43,,0.9987,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.5191893,0.43,,0.9989,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.40375986,0.43,,0.9991,,,,,,25
H2-C1,Z,Mihara1977,298.15,7.779632175,0.57,,1.0161,,,,,,25
H2-C1,Z,Mihara1977,298.15,6.683700975,0.57,,1.0129,,,,,,25
H2-C1,Z,Mihara1977,298.15,4.94769975,0.57,,1.0084,,,,,,25
H2-C1,Z,Mihara1977,298.15,4.257980475,0.57,,1.0069,,,,,,25
H2-C1,Z,Mihara1977,298.15,3.158806875,0.57,,1.0047,,,,,,25
H2-C1,Z,Mihara1977,298.15,2.72017095,0.57,,1.0038,,,,,,25
H2-C1,Z,Mihara1977,298.15,2.0204205,0.57,,1.0028,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.7403582,0.57,,1.0022,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.2933123,0.57,,1.0017,,,,,,25
H2-C1,Z,Mihara1977,298.15,1.114271025,0.57,,1.0013,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.828240683,0.57,,1.001,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.713723168,0.57,,1.0008,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.530547833,0.57,,1.0006,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.457239195,0.57,,1.0005,,,,,,25
H2-C1,Z,Mihara1977,298.15,0.339904845,0.57,,1.0004,,,,,,25
H2-C1,Z,Mihara1977,298.15,9.241954575,0.68,,1.0345,,,,,,25
H2-C1,Z,Mihara1977,298.15,7.53918795,0.68,,1.0269,,,,,,25
H2-C1,Z,Mihara1977,298.15,5.8399677,0.68,,1.0201,,,,,,25
H2-C1,Z,Mihara1977,298.15,4.779398925,0.68,,1.0159,,,,,,25
H2-C1,Z,Mihara1977,298.15,3.71315595,0.68,,1.0121,,,,,,25
H2-C1,Z,Mihara1977,298.15,3.044106975,0.68,,1.0097,,,,,,25
