Fluid,Property,Dataset,#T (K),P(Mpa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,T (  C),T (   R)
H2,TC,Roder1984,312.492,4.499,,,,,0.19574,,,,
H2,TC,Roder1984,312.889,4.498,,,,,0.19585,,,,
H2,TC,Roder1984,314.037,4.498,,,,,0.19644,,,,
H2,TC,Roder1984,314.687,4.498,,,,,0.19636,,,,
H2,TC,Roder1984,312.141,2.427,,,,,0.19312,,,,
H2,TC,Roder1984,312.413,2.426,,,,,0.19336,,,,
H2,TC,Roder1984,313.364,2.426,,,,,0.19418,,,,
H2,TC,Roder1984,313.922,2.425,,,,,0.19443,,,,
H2,TC,Roder1984,311.734,1.009,,,,,0.19154,,,,
H2,TC,Roder1984,312.13,1.009,,,,,0.19307,,,,
H2,TC,Roder1984,312.545,1.009,,,,,0.19236,,,,
H2,TC,Roder1984,313.068,1.009,,,,,0.19313,,,,
H2,TC,Roder1984,313.56,1.007,,,,,0.19426,,,,
