Fluid,Property,Dataset,#T(K),P(MPa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,w (ms-1),T (  C)
H2-C1,TC,Mamonov1971,297.65,2.5,0.847,,,,0.0505,,,,24.5
H2-C1,TC,Mamonov1971,297.65,2.5,0.847,,,,0.051,,,,24.5
H2-C1,TC,Mamonov1971,297.65,2.5,0.847,,,,0.052,,,,24.5
H2-C1,TC,Mamonov1971,297.65,5.07,0.847,,,,0.053,,,,24.5
H2-C1,TC,Mamonov1971,297.65,5.07,0.847,,,,0.0535,,,,24.5
H2-C1,TC,Mamonov1971,297.65,5.07,0.847,,,,0.054,,,,24.5
H2-C1,TC,Mamonov1971,297.65,10.13,0.847,,,,0.0585,,,,24.5
H2-C1,TC,Mamonov1971,297.65,10.13,0.847,,,,0.0585,,,,24.5
H2-C1,TC,Mamonov1971,297.65,10.13,0.847,,,,0.059,,,,24.5
H2-C1,TC,Mamonov1971,297.65,15.19,0.847,,,,0.064,,,,24.5
H2-C1,TC,Mamonov1971,297.65,15.19,0.847,,,,0.064,,,,24.5
H2-C1,TC,Mamonov1971,297.65,15.19,0.847,,,,0.0645,,,,24.5
H2-C1,TC,Mamonov1971,297.65,20.26,0.847,,,,0.0705,,,,24.5
H2-C1,TC,Mamonov1971,297.65,20.26,0.847,,,,0.071,,,,24.5
H2-C1,TC,Mamonov1971,297.65,20.26,0.847,,,,0.071,,,,24.5
H2-C1,TC,Mamonov1971,297.65,30.39,0.847,,,,0.0815,,,,24.5
H2-C1,TC,Mamonov1971,297.65,30.39,0.847,,,,0.0825,,,,24.5
H2-C1,TC,Mamonov1971,297.65,30.39,0.847,,,,0.0835,,,,24.5
H2-C1,TC,Mamonov1971,297.65,41.53,0.847,,,,0.0935,,,,24.5
H2-C1,TC,Mamonov1971,297.65,41.53,0.847,,,,0.094,,,,24.5
H2-C1,TC,Mamonov1971,297.65,41.53,0.847,,,,0.0945,,,,24.5
H2-C1,TC,Mamonov1971,382.45,5.07,0.847,,,,0.0655,,,,109.3
H2-C1,TC,Mamonov1971,382.45,5.07,0.847,,,,0.066,,,,109.3
H2-C1,TC,Mamonov1971,382.45,5.07,0.847,,,,0.0665,,,,109.3
H2-C1,TC,Mamonov1971,382.45,10.13,0.847,,,,0.0695,,,,109.3
H2-C1,TC,Mamonov1971,382.45,10.13,0.847,,,,0.07,,,,109.3
H2-C1,TC,Mamonov1971,382.45,10.13,0.847,,,,0.071,,,,109.3
H2-C1,TC,Mamonov1971,382.45,15.19,0.847,,,,0.0725,,,,109.3
H2-C1,TC,Mamonov1971,382.45,15.19,0.847,,,,0.0735,,,,109.3
H2-C1,TC,Mamonov1971,382.45,15.19,0.847,,,,0.074,,,,109.3
H2-C1,TC,Mamonov1971,382.45,20.26,0.847,,,,0.076,,,,109.3
H2-C1,TC,Mamonov1971,382.45,20.26,0.847,,,,0.0765,,,,109.3
H2-C1,TC,Mamonov1971,382.45,20.26,0.847,,,,0.0775,,,,109.3
H2-C1,TC,Mamonov1971,382.45,30.39,0.847,,,,0.083,,,,109.3
H2-C1,TC,Mamonov1971,382.45,30.39,0.847,,,,0.0835,,,,109.3
H2-C1,TC,Mamonov1971,382.45,30.39,0.847,,,,0.0845,,,,109.3
H2-C1,TC,Mamonov1971,382.45,40.52,0.847,,,,0.0905,,,,109.3
H2-C1,TC,Mamonov1971,382.45,40.52,0.847,,,,0.091,,,,109.3
H2-C1,TC,Mamonov1971,382.45,40.52,0.847,,,,0.0915,,,,109.3
H2-C1,TC,Mamonov1971,454.25,5.07,0.847,,,,0.0795,,,,181.1
H2-C1,TC,Mamonov1971,454.25,5.07,0.847,,,,0.08,,,,181.1
H2-C1,TC,Mamonov1971,454.25,5.07,0.847,,,,0.081,,,,181.1
H2-C1,TC,Mamonov1971,454.25,10.13,0.847,,,,0.0815,,,,181.1
H2-C1,TC,Mamonov1971,454.25,10.13,0.847,,,,0.0825,,,,181.1
H2-C1,TC,Mamonov1971,454.25,10.13,0.847,,,,0.0835,,,,181.1
H2-C1,TC,Mamonov1971,454.25,20.26,0.847,,,,0.0865,,,,181.1
H2-C1,TC,Mamonov1971,454.25,20.26,0.847,,,,0.0875,,,,181.1
H2-C1,TC,Mamonov1971,454.25,20.26,0.847,,,,0.088,,,,181.1
H2-C1,TC,Mamonov1971,454.25,30.39,0.847,,,,0.0925,,,,181.1
H2-C1,TC,Mamonov1971,454.25,30.39,0.847,,,,0.0925,,,,181.1
H2-C1,TC,Mamonov1971,454.25,30.39,0.847,,,,0.093,,,,181.1
H2-C1,TC,Mamonov1971,454.25,40.52,0.847,,,,0.097,,,,181.1
H2-C1,TC,Mamonov1971,454.25,40.52,0.847,,,,0.0985,,,,181.1
H2-C1,TC,Mamonov1971,505.65,5.07,0.847,,,,0.09,,,,232.5
H2-C1,TC,Mamonov1971,505.65,5.07,0.847,,,,0.091,,,,232.5
H2-C1,TC,Mamonov1971,505.65,5.07,0.847,,,,0.0915,,,,232.5
H2-C1,TC,Mamonov1971,505.65,10.13,0.847,,,,0.092,,,,232.5
H2-C1,TC,Mamonov1971,505.65,10.13,0.847,,,,0.093,,,,232.5
H2-C1,TC,Mamonov1971,505.65,20.26,0.847,,,,0.0965,,,,232.5
H2-C1,TC,Mamonov1971,505.65,20.26,0.847,,,,0.0965,,,,232.5
H2-C1,TC,Mamonov1971,505.65,20.26,0.847,,,,0.097,,,,232.5
H2-C1,TC,Mamonov1971,505.65,30.39,0.847,,,,0.101,,,,232.5
H2-C1,TC,Mamonov1971,505.65,30.39,0.847,,,,0.101,,,,232.5
H2-C1,TC,Mamonov1971,505.65,30.39,0.847,,,,0.101,,,,232.5
H2-C1,TC,Mamonov1971,505.65,40.52,0.847,,,,0.104,,,,232.5
H2-C1,TC,Mamonov1971,505.65,40.52,0.847,,,,0.104,,,,232.5
H2-C1,TC,Mamonov1971,505.65,40.52,0.847,,,,0.105,,,,232.5
H2-C1,TC,Mamonov1971,300.05,0.9,0.679,,,,0.067,,,,26.9
H2-C1,TC,Mamonov1971,300.05,0.9,0.679,,,,0.0675,,,,26.9
H2-C1,TC,Mamonov1971,300.05,0.9,0.679,,,,0.068,,,,26.9
H2-C1,TC,Mamonov1971,300.05,5.07,0.679,,,,0.071,,,,26.9
H2-C1,TC,Mamonov1971,300.05,5.07,0.679,,,,0.071,,,,26.9
H2-C1,TC,Mamonov1971,300.05,5.07,0.679,,,,0.071,,,,26.9
H2-C1,TC,Mamonov1971,300.05,10.13,0.679,,,,0.074,,,,26.9
H2-C1,TC,Mamonov1971,300.05,10.13,0.679,,,,0.0745,,,,26.9
H2-C1,TC,Mamonov1971,300.05,15.19,0.679,,,,0.0785,,,,26.9
H2-C1,TC,Mamonov1971,300.05,15.19,0.679,,,,0.079,,,,26.9
H2-C1,TC,Mamonov1971,300.05,15.19,0.679,,,,0.0795,,,,26.9
H2-C1,TC,Mamonov1971,300.05,20.26,0.679,,,,0.0835,,,,26.9
H2-C1,TC,Mamonov1971,300.05,20.26,0.679,,,,0.084,,,,26.9
H2-C1,TC,Mamonov1971,300.05,20.26,0.679,,,,0.085,,,,26.9
