Fluid,Property,Dataset,#T(K),P(MPa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,w (ms-1),T (  C)
H2-C1,w,Lozano2020,273.16,0.48093,0.050086,,,,,,,439.555,0.01
H2-C1,w,Lozano2020,273.16,0.95352,0.050086,,,,,,,437.751,0.01
H2-C1,w,Lozano2020,273.16,1.94476,0.050086,,,,,,,434.234,0.01
H2-C1,w,Lozano2020,273.16,2.9535,0.050086,,,,,,,431.122,0.01
H2-C1,w,Lozano2020,273.16,3.96005,0.050086,,,,,,,428.587,0.01
H2-C1,w,Lozano2020,273.16,4.96989,0.050086,,,,,,,426.732,0.01
H2-C1,w,Lozano2020,273.16,5.97188,0.050086,,,,,,,425.699,0.01
H2-C1,w,Lozano2020,273.16,6.99156,0.050086,,,,,,,425.612,0.01
H2-C1,w,Lozano2020,273.16,7.99623,0.050086,,,,,,,426.62,0.01
H2-C1,w,Lozano2020,273.16,8.98598,0.050086,,,,,,,428.798,0.01
H2-C1,w,Lozano2020,273.16,9.98461,0.050086,,,,,,,432.303,0.01
H2-C1,w,Lozano2020,273.16,10.98657,0.050086,,,,,,,437.223,0.01
H2-C1,w,Lozano2020,273.16,11.80487,0.050086,,,,,,,442.323,0.01
H2-C1,w,Lozano2020,273.16,12.49109,0.050086,,,,,,,447.348,0.01
H2-C1,w,Lozano2020,273.16,13.27182,0.050086,,,,,,,453.873,0.01
H2-C1,w,Lozano2020,273.16,14.00158,0.050086,,,,,,,460.724,0.01
H2-C1,w,Lozano2020,273.16,14.79487,0.050086,,,,,,,468.949,0.01
H2-C1,w,Lozano2020,273.16,15.50366,0.050086,,,,,,,476.905,0.01
H2-C1,w,Lozano2020,273.16,16.31147,0.050086,,,,,,,486.642,0.01
H2-C1,w,Lozano2020,273.16,17.04491,0.050086,,,,,,,495.995,0.01
H2-C1,w,Lozano2020,273.16,17.83195,0.050086,,,,,,,506.482,0.01
H2-C1,w,Lozano2020,273.16,18.5157,0.050086,,,,,,,515.94,0.01
H2-C1,w,Lozano2020,273.16,19.32866,0.050086,,,,,,,527.447,0.01
H2-C1,w,Lozano2020,273.16,19.9901,0.050086,,,,,,,536.983,0.01
H2-C1,w,Lozano2020,300,0.49428,0.050086,,,,,,,459.595,26.85
H2-C1,w,Lozano2020,300,0.98708,0.050086,,,,,,,458.435,26.85
H2-C1,w,Lozano2020,300,1.97706,0.050086,,,,,,,456.333,26.85
H2-C1,w,Lozano2020,300,2.98075,0.050086,,,,,,,454.633,26.85
H2-C1,w,Lozano2020,300,3.98305,0.050086,,,,,,,453.416,26.85
H2-C1,w,Lozano2020,300,4.98398,0.050086,,,,,,,452.741,26.85
H2-C1,w,Lozano2020,300,5.97553,0.050086,,,,,,,452.661,26.85
H2-C1,w,Lozano2020,300,6.988,0.050086,,,,,,,453.252,26.85
H2-C1,w,Lozano2020,300,7.98929,0.050086,,,,,,,454.552,26.85
H2-C1,w,Lozano2020,300,8.99078,0.050086,,,,,,,456.625,26.85
H2-C1,w,Lozano2020,300,9.97066,0.050086,,,,,,,459.438,26.85
H2-C1,w,Lozano2020,300,10.79807,0.050086,,,,,,,462.444,26.85
H2-C1,w,Lozano2020,300,11.48854,0.050086,,,,,,,465.407,26.85
H2-C1,w,Lozano2020,300,12.29517,0.050086,,,,,,,469.388,26.85
H2-C1,w,Lozano2020,300,12.97841,0.050086,,,,,,,473.204,26.85
H2-C1,w,Lozano2020,300,13.81568,0.050086,,,,,,,478.424,26.85
H2-C1,w,Lozano2020,300,14.51408,0.050086,,,,,,,483.224,26.85
H2-C1,w,Lozano2020,300,15.30042,0.050086,,,,,,,489.101,26.85
H2-C1,w,Lozano2020,300,15.98613,0.050086,,,,,,,494.622,26.85
H2-C1,w,Lozano2020,300,16.55422,0.050086,,,,,,,499.447,26.85
H2-C1,w,Lozano2020,300,17.49614,0.050086,,,,,,,507.934,26.85
H2-C1,w,Lozano2020,300,18.2956,0.050086,,,,,,,515.566,26.85
H2-C1,w,Lozano2020,300,18.93451,0.050086,,,,,,,521.922,26.85
H2-C1,w,Lozano2020,325,0.4811,0.050086,,,,,,,476.861,51.85
H2-C1,w,Lozano2020,325,0.93346,0.050086,,,,,,,476.238,51.85
H2-C1,w,Lozano2020,325,1.97447,0.050086,,,,,,,475.041,51.85
H2-C1,w,Lozano2020,325,2.97418,0.050086,,,,,,,474.257,51.85
H2-C1,w,Lozano2020,325,3.97804,0.050086,,,,,,,473.877,51.85
H2-C1,w,Lozano2020,325,4.9781,0.050086,,,,,,,473.935,51.85
H2-C1,w,Lozano2020,325,5.98867,0.050086,,,,,,,474.472,51.85
H2-C1,w,Lozano2020,325,6.98692,0.050086,,,,,,,475.502,51.85
H2-C1,w,Lozano2020,325,8.00016,0.050086,,,,,,,477.092,51.85
H2-C1,w,Lozano2020,325,8.98548,0.050086,,,,,,,479.182,51.85
H2-C1,w,Lozano2020,325,9.99482,0.050086,,,,,,,481.917,51.85
H2-C1,w,Lozano2020,325,10.99361,0.050086,,,,,,,485.201,51.85
H2-C1,w,Lozano2020,325,11.69968,0.050086,,,,,,,487.887,51.85
H2-C1,w,Lozano2020,325,12.50938,0.050086,,,,,,,491.329,51.85
H2-C1,w,Lozano2020,325,13.29378,0.050086,,,,,,,495.039,51.85
H2-C1,w,Lozano2020,325,13.98088,0.050086,,,,,,,498.584,51.85
H2-C1,w,Lozano2020,325,14.76786,0.050086,,,,,,,502.989,51.85
H2-C1,w,Lozano2020,325,15.49379,0.050086,,,,,,,507.357,51.85
H2-C1,w,Lozano2020,325,16.2666,0.050086,,,,,,,512.321,51.85
H2-C1,w,Lozano2020,325,16.99333,0.050086,,,,,,,517.282,51.85
H2-C1,w,Lozano2020,325,17.77873,0.050086,,,,,,,522.94,51.85
H2-C1,w,Lozano2020,325,18.48426,0.050086,,,,,,,528.281,51.85
H2-C1,w,Lozano2020,325,19.26238,0.050086,,,,,,,534.431,51.85
H2-C1,w,Lozano2020,325,19.81381,0.050086,,,,,,,538.946,51.85
H2-C1,w,Lozano2020,350,0.47315,0.050086,,,,,,,493.06,76.85
H2-C1,w,Lozano2020,350,1.46058,0.050086,,,,,,,492.495,76.85
H2-C1,w,Lozano2020,350,3.17997,0.050086,,,,,,,492.204,76.85
H2-C1,w,Lozano2020,350,5.43052,0.050086,,,,,,,493.408,76.85
H2-C1,w,Lozano2020,350,7.44669,0.050086,,,,,,,496.149,76.85
H2-C1,w,Lozano2020,350,9.4896,0.050086,,,,,,,500.664,76.85
H2-C1,w,Lozano2020,350,11.4972,0.050086,,,,,,,506.859,76.85
H2-C1,w,Lozano2020,350,13.52754,0.050086,,,,,,,514.987,76.85
H2-C1,w,Lozano2020,350,15.52198,0.050086,,,,,,,524.663,76.85
H2-C1,w,Lozano2020,350,17.53712,0.050086,,,,,,,536.081,76.85
H2-C1,w,Lozano2020,350,19.29931,0.050086,,,,,,,547.308,76.85
H2-C1,w,Lozano2020,375,0.48389,0.050086,,,,,,,508.279,101.85
H2-C1,w,Lozano2020,375,1.46596,0.050086,,,,,,,508.242,101.85
H2-C1,w,Lozano2020,375,2.42463,0.050086,,,,,,,508.491,101.85
H2-C1,w,Lozano2020,375,4.44704,0.050086,,,,,,,509.882,101.85
H2-C1,w,Lozano2020,375,6.43509,0.050086,,,,,,,512.456,101.85
H2-C1,w,Lozano2020,375,8.47427,0.050086,,,,,,,516.501,101.85
H2-C1,w,Lozano2020,375,10.46544,0.050086,,,,,,,521.75,101.85
