Fluid,Property,Dataset,#T(K),P(MPa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,w (ms-1),T (  C)
H2-C1,Viscosity,Chuang1976.,173.162685,6.071698,0.787,,,0.000007382,,,,,-99.987315
H2-C1,Viscosity,Chuang1976.,173.162685,10.115883,0.787,,,0.000007877,,,,,-99.987315
H2-C1,Viscosity,Chuang1976.,173.162685,14.166147,0.787,,,0.000008458,,,,,-99.987315
H2-C1,Viscosity,Chuang1976.,173.162685,20.233589,0.787,,,0.000009393,,,,,-99.987315
H2-C1,Viscosity,Chuang1976.,173.162685,30.351194,0.787,,,0.00001101,,,,,-99.987315
H2-C1,Viscosity,Chuang1976.,173.162685,40.474271,0.787,,,0.000012586,,,,,-99.987315
H2-C1,Viscosity,Chuang1976.,173.162685,45.522587,0.787,,,0.00001333,,,,,-99.987315
H2-C1,Viscosity,Chuang1976.,198.161185,0.406212,0.787,,,0.000007724,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,1.013554,0.787,,,0.000007767,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,2.024271,0.787,,,0.000007825,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,4.050163,0.787,,,0.000007946,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,6.069773,0.787,,,0.000008101,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,10.11872,0.787,,,0.000008468,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,20.236325,0.787,,,0.000009671,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,30.357983,0.787,,,0.000010978,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,40.466064,0.787,,,0.00001228,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,198.161185,50.586405,0.787,,,0.000013456,,,,,-74.988815
H2-C1,Viscosity,Chuang1976.,223.158685,0.404489,0.787,,,0.00000853,,,,,-49.991315
H2-C1,Viscosity,Chuang1976.,223.158685,1.012642,0.787,,,0.000008545,,,,,-49.991315
H2-C1,Viscosity,Chuang1976.,223.158685,2.025385,0.787,,,0.000008562,,,,,-49.991315
H2-C1,Viscosity,Chuang1976.,223.158685,4.042969,0.787,,,0.000008668,,,,,-49.991315
H2-C1,Viscosity,Chuang1976.,223.158685,10.122368,0.787,,,0.000009096,,,,,-49.991315
H2-C1,Viscosity,Chuang1976.,223.158685,20.23825,0.787,,,0.00001006,,,,,-49.991315
